"analysis_group","pt_standard_en","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","ror_95ci_range","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal"
"Iodixanol","Blood creatinine increased","Blood creatinine increased","血肌酐升高","Investigations","各类检查","37","37","2232","62574","19841636","2269","62611","19906479","5.26","3.8","7.27","5.26 (3.80, 7.27)","5.19","125.37","2.37","2.04","7.1366","4.91","2.73","1","1","1","1","1","1"
"Iodixanol","Off label use","Off label use","超说明书使用","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","37","37","2232","806461","19097749","2269","806498","19906479","0.39","0.28","0.54","0.39 (0.28, 0.54)","0.4","34.21","-1.31","-1.64","91.9271","0.41","0.23","0","0","0","0","0","0"
"Iodixanol","Dysphoria","Dysphoria","烦躁不安","Psychiatric disorders","精神病类","36","36","2233","4892","19899318","2269","4928","19906479","65.58","47.12","91.26","65.58 (47.12, 91.26)","64.55","2236.62","6","5.66","0.5617","34.38","19.09","1","1","1","1","1","1"
"Iodixanol","Cardiac arrest","Cardiac arrest","心脏停搏","Cardiac disorders","心脏器官疾病","36","36","2233","79528","19824682","2269","79564","19906479","4.02","2.89","5.59","4.02 (2.89, 5.59)","3.97","80.3","1.99","1.65","9.0689","3.81","2.12","1","1","1","1","1","1"
"Iodixanol","Rash maculo-papular","Rash maculo-papular","斑丘疹","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","34","34","2235","20907","19883303","2269","20941","19906479","14.47","10.31","20.31","14.47 (10.31, 20.31)","14.27","419.18","3.83","3.49","2.3869","11.95","6.61","1","1","1","1","1","1"
"Iodixanol","SNEEZING","SNEEZING","喷嚏","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","34","34","2235","21137","19883073","2269","21171","19906479","14.31","10.2","20.08","14.31 (10.20, 20.08)","14.11","413.95","3.82","3.47","2.4131","11.84","6.55","1","1","1","1","1","1"
"Iodixanol","Contrast encephalopathy","Contrast encephalopathy","造影剂脑病","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","33","33","2236","197","19904013","2269","230","19906479","1491.13","1028.96","2160.9","1,491.13 (1,028.96, 2,160.90)","1469.46","41478.61","10.3","9.92","0.0262","63.66","35.16","1","1","1","1","1","1"
"Iodixanol","Malaise","Malaise","难受","General disorders and administration site conditions","全身性疾病及给药部位各种反应","33","33","2236","420097","19484113","2269","420130","19906479","0.68","0.49","0.97","0.68 (0.49, 0.97)","0.69","4.73","-0.54","-0.89","47.8877","0.69","0.38","0","0","0","0","0","0"
"Iodixanol","HEADACHE","HEADACHE","头痛","Nervous system disorders","各类神经系统疾病","33","33","2236","594824","19309386","2269","594857","19906479","0.48","0.34","0.68","0.48 (0.34, 0.68)","0.49","18.42","-1.04","-1.39","67.8036","0.49","0.27","0","0","0","0","0","0"
"Iodixanol","Throat irritation","Throat irritation","咽喉刺激","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","32","32","2237","42132","19862078","2269","42164","19906479","6.74","4.76","9.56","6.74 (4.76, 9.56)","6.66","154.22","2.74","2.38","4.806","6.13","3.38","1","1","1","1","1","1"
"Iodixanol","TACHYCARDIA","TACHYCARDIA","心动过速","Cardiac disorders","心脏器官疾病","32","32","2237","84559","19819651","2269","84591","19906479","3.35","2.37","4.75","3.35 (2.37, 4.75)","3.32","52.07","1.73","1.37","9.6419","3.2","1.77","1","1","1","0","1","0"
"Iodixanol","Nephropathy toxic","Nephropathy toxic","中毒性肾病","Renal and urinary disorders","肾脏及泌尿系统疾病","31","31","2238","10373","19893837","2269","10404","19906479","26.57","18.63","37.89","26.57 (18.63, 37.89)","26.22","750.03","4.71","4.35","1.1859","18.68","10.27","1","1","1","1","1","1"
"Iodixanol","Cyanosis","Cyanosis","发绀","Vascular disorders","血管与淋巴管类疾病","31","31","2238","15116","19889094","2269","15147","19906479","18.23","12.78","25.99","18.23 (12.78, 25.99)","17.99","496.78","4.17","3.8","1.7265","14.15","7.78","1","1","1","1","1","1"
"Iodixanol","THROAT TIGHTNESS","THROAT TIGHTNESS","咽喉缩紧感","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","31","31","2238","25651","19878559","2269","25682","19906479","10.73","7.53","15.3","10.73 (7.53, 15.30)","10.6","269.59","3.4","3.04","2.9273","9.19","5.05","1","1","1","1","1","1"
"Iodixanol","Skin exfoliation","Skin exfoliation","皮肤剥脱","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","31","31","2238","77848","19826362","2269","77879","19906479","3.53","2.47","5.03","3.53 (2.47, 5.03)","3.49","55.36","1.8","1.44","8.8769","3.36","1.85","1","1","1","0","1","0"
"Iodixanol","CHEST PAIN","CHEST PAIN","胸痛","General disorders and administration site conditions","全身性疾病及给药部位各种反应","31","31","2238","177667","19726543","2269","177698","19906479","1.54","1.08","2.19","1.54 (1.08, 2.19)","1.53","5.75","0.61","0.25","20.2545","1.52","0.83","1","0","1","0","0","0"
"Iodixanol","Dermatitis allergic","Dermatitis allergic","过敏性皮炎","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","30","30","2239","11540","19892670","2269","11570","19906479","23.1","16.1","33.13","23.10 (16.10, 33.13)","22.8","624.2","4.51","4.14","1.3188","16.77","9.2","1","1","1","1","1","1"
"Iodixanol","Hypothyroidism","Hypothyroidism","甲状腺功能减退症","Endocrine disorders","内分泌系统疾病","30","30","2239","29815","19874395","2269","29845","19906479","8.93","6.23","12.81","8.93 (6.23, 12.81)","8.83","208.3","3.14","2.77","3.4018","7.82","4.29","1","1","1","1","1","1"
"Iodixanol","Anaphylactoid reaction","Anaphylactoid reaction","类过敏反应","Immune system disorders","免疫系统疾病","28","28","2241","3935","19900275","2269","3963","19906479","63.19","43.47","91.85","63.19 (43.47, 91.85)","62.42","1680.59","5.95","5.57","0.4517","29.95","16.34","1","1","1","1","1","1"
"Iodixanol","UNRESPONSIVE TO STIMULI","UNRESPONSIVE TO STIMULI","刺激反应消失","Nervous system disorders","各类神经系统疾病","28","28","2241","24350","19879860","2269","24378","19906479","10.2","7.03","14.81","10.20 (7.03, 14.81)","10.09","229.23","3.33","2.95","2.7787","8.69","4.74","1","1","1","1","1","1"
"Iodixanol","Blister","Blister","水疱","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","28","28","2241","51899","19852311","2269","51927","19906479","4.78","3.29","6.94","4.78 (3.29, 6.94)","4.73","82.6","2.24","1.86","5.9188","4.44","2.42","1","1","1","1","1","1"
"Iodixanol","OXYGEN SATURATION DECREASED","OXYGEN SATURATION DECREASED","血氧饱和度降低","Investigations","各类检查","28","28","2241","52337","19851873","2269","52365","19906479","4.74","3.26","6.88","4.74 (3.26, 6.88)","4.69","81.54","2.23","1.85","5.9687","4.41","2.4","1","1","1","1","1","1"
"Iodixanol","Eye swelling","Eye swelling","眼肿","Eye disorders","眼器官疾病","27","27","2242","35212","19868998","2269","35239","19906479","6.8","4.65","9.93","6.80 (4.65, 9.93)","6.73","131.76","2.75","2.36","4.0166","6.09","3.31","1","1","1","1","1","1"
"Iodixanol","Feeling hot","Feeling hot","感觉热","General disorders and administration site conditions","全身性疾病及给药部位各种反应","27","27","2242","58853","19845357","2269","58880","19906479","4.06","2.78","5.94","4.06 (2.78, 5.94)","4.02","61.52","2.01","1.62","6.7113","3.81","2.07","1","1","1","1","1","1"
"Iodixanol","Tremor","Tremor","震颤","Nervous system disorders","各类神经系统疾病","27","27","2242","159088","19745122","2269","159115","19906479","1.49","1.02","2.18","1.49 (1.02, 2.18)","1.49","4.37","0.57","0.19","18.1364","1.48","0.8","1","0","1","0","0","0"
"Iodixanol","Eosinophilia","Eosinophilia","嗜酸性粒细胞增多症","Blood and lymphatic system disorders","血液及淋巴系统疾病","26","26","2243","16364","19887846","2269","16390","19906479","14.09","9.57","20.74","14.09 (9.57, 20.74)","13.94","312.01","3.8","3.4","1.8682","11.19","6.07","1","1","1","1","1","1"
"Iodixanol","Dysphonia","Dysphonia","发声困难","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","25","25","2244","55386","19848824","2269","55411","19906479","3.99","2.69","5.92","3.99 (2.69, 5.92)","3.96","55.43","1.98","1.58","6.3159","3.74","2.02","1","1","1","1","1","1"
"Iodixanol","Acute generalised exanthematous pustulosis","Acute generalised exanthematous pustulosis","急性泛发性发疹性脓疱病","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","24","24","2245","7263","19896947","2269","7287","19906479","29.29","19.57","43.82","29.29 (19.57, 43.82)","28.99","646.62","4.85","4.44","0.8306","18.41","9.91","1","1","1","1","1","1"
