analysis_group	section	category	n	percentage
Ioversol	Reporter country	CHILE	1	0.03
Ioversol	Reporter country	EG	1	0.03
Ioversol	Reporter country	FINLAND	1	0.03
Ioversol	Reporter country	GUATEMALA	1	0.03
Ioversol	Reporter country	HU	1	0.03
Ioversol	Reporter country	JM	1	0.03
Ioversol	Reporter country	NEPAL	1	0.03
Ioversol	Reporter qualification	Other	1856	56.72
Ioversol	Reporter qualification	Physician	685	20.94
Ioversol	Reporter qualification	Other health professional	464	14.18
Ioversol	Reporter qualification	Pharmacist	265	8.10
Ioversol	Reporter qualification	Nurse	2	0.06
Iopamidol	Sex	Female	1487	53.16
Iopamidol	Sex	Male	1093	39.08
Iopamidol	Sex	Missing or unknown	217	7.76
Iopamidol	Age group	>=60 years	1159	41.44
Iopamidol	Age group	18-59 years	1008	36.04
Iopamidol	Age group	Missing or unknown	584	20.88
Iopamidol	Age group	<18 years	46	1.64
Iopamidol	Reporter country	US	1483	53.02
Iopamidol	Reporter country	JP	321	11.48
Iopamidol	Reporter country	Missing or unknown	282	10.08
Iopamidol	Reporter country	CN	196	7.01
Iopamidol	Reporter country	DE	110	3.93
Iopamidol	Reporter country	IT	73	2.61
Iopamidol	Reporter country	CA	71	2.54
Iopamidol	Reporter country	ES	44	1.57
Iopamidol	Reporter country	GB	43	1.54
Iopamidol	Reporter country	FR	35	1.25
Iopamidol	Reporter country	BR	24	0.86
Iopamidol	Reporter country	CH	12	0.43
Iopamidol	Reporter country	IE	12	0.43
Iopamidol	Reporter country	AU	10	0.36
Iopamidol	Reporter country	EU	10	0.36
Iopamidol	Reporter country	AT	9	0.32
Iopamidol	Reporter country	SI	8	0.29
Iopamidol	Reporter country	MX	7	0.25
Iopamidol	Reporter country	TH	6	0.21
Iopamidol	Reporter country	CO	4	0.14
Iopamidol	Reporter country	MY	3	0.11
Iopamidol	Reporter country	RO	3	0.11
Iopamidol	Reporter country	UNITED STATES	3	0.11
Iopamidol	Reporter country	AR	2	0.07
Iopamidol	Reporter country	GR	2	0.07
Iopamidol	Reporter country	IN	2	0.07
Iopamidol	Reporter country	TR	2	0.07
Iopamidol	Reporter country	TURKEY	2	0.07
Iopamidol	Reporter country	TW	2	0.07
Iopamidol	Reporter country	ZA	2	0.07
Iopamidol	Reporter country	AL	1	0.04
Iopamidol	Reporter country	BANGLADESH	1	0.04
Iopamidol	Reporter country	CZECH REPUBLIC	1	0.04
Iopamidol	Reporter country	FINLAND	1	0.04
Iopamidol	Reporter country	HK	1	0.04
Iopamidol	Reporter country	ID	1	0.04
Iopamidol	Reporter country	IL	1	0.04
Iopamidol	Reporter country	INDONESIA	1	0.04
Iopamidol	Reporter country	KR	1	0.04
Iopamidol	Reporter country	LV	1	0.04
Iopamidol	Reporter country	MALAYSIA	1	0.04
Iopamidol	Reporter country	MEXICO	1	0.04
Iopamidol	Reporter country	ROMANIA	1	0.04
Iopamidol	Reporter country	UY	1	0.04
Iopamidol	Reporter qualification	Other	1209	43.22
Iopamidol	Reporter qualification	Physician	611	21.84
Iopamidol	Reporter qualification	Pharmacist	607	21.70
Iopamidol	Reporter qualification	Other health professional	370	13.23
Iodixanol	Sex	Male	950	41.87
Iodixanol	Sex	Female	854	37.64
Iodixanol	Sex	Missing or unknown	465	20.49
Iodixanol	Age group	>=60 years	990	43.63
Iodixanol	Age group	18-59 years	708	31.20
Iodixanol	Age group	Missing or unknown	554	24.42
Iodixanol	Age group	<18 years	17	0.75
Iodixanol	Reporter country	US	602	26.53
Iodixanol	Reporter country	CN	475	20.93
Iodixanol	Reporter country	FR	253	11.15
Iodixanol	Reporter country	Missing or unknown	169	7.45
Iodixanol	Reporter country	IT	106	4.67
Iodixanol	Reporter country	DE	81	3.57
Iodixanol	Reporter country	CA	78	3.44
Iodixanol	Reporter country	ES	59	2.60
Iodixanol	Reporter country	SE	38	1.67
Iodixanol	Reporter country	IN	31	1.37
Iodixanol	Reporter country	GB	29	1.28
Iodixanol	Reporter country	PL	27	1.19
Iodixanol	Reporter country	BR	24	1.06
Iodixanol	Reporter country	KR	20	0.88
Iodixanol	Reporter country	AU	15	0.66
Iodixanol	Reporter country	BY	15	0.66
Iodixanol	Reporter country	GR	15	0.66
Iodixanol	Reporter country	NORWAY	15	0.66
Iodixanol	Reporter country	PT	15	0.66
Iodixanol	Reporter country	JP	14	0.62
Iodixanol	Reporter country	AT	13	0.57
Iodixanol	Reporter country	DK	13	0.57
Iodixanol	Reporter country	EU	12	0.53
Iodixanol	Reporter country	IR	12	0.53
Iodixanol	Reporter country	CH	10	0.44
Iodixanol	Reporter country	NL	10	0.44
Iodixanol	Reporter country	HR	7	0.31
Iodixanol	Reporter country	NZ	7	0.31
Iodixanol	Reporter country	SK	7	0.31
Iodixanol	Reporter country	INDIA	5	0.22
Iodixanol	Reporter country	NO	5	0.22
Iodixanol	Reporter country	RO	5	0.22
Iodixanol	Reporter country	RUSSIAN FEDERATION	5	0.22
Iodixanol	Reporter country	CL	4	0.18
Iodixanol	Reporter country	CZ	4	0.18
Iodixanol	Reporter country	FI	4	0.18
Iodixanol	Reporter country	ID	4	0.18
Iodixanol	Reporter country	IL	4	0.18
Iodixanol	Reporter country	KE	4	0.18
Iodixanol	Reporter country	PH	4	0.18
Iodixanol	Reporter country	RS	4	0.18
Iodixanol	Reporter country	SOUTH AFRICA	4	0.18
Iodixanol	Reporter country	IRAN (ISLAMIC REPUBLIC OF)	3	0.13
Iodixanol	Reporter country	CO	2	0.09
Iodixanol	Reporter country	DO	2	0.09
Iodixanol	Reporter country	KP	2	0.09
Iodixanol	Reporter country	KW	2	0.09
Iodixanol	Reporter country	MK	2	0.09
Iodixanol	Reporter country	MN	2	0.09
Iodixanol	Reporter country	PR	2	0.09
