"analysis_group","soc_en","soc_cn","pt_count","summed_pt_case_count","ror_positive_pt_count","prr_positive_pt_count","bcpnn_positive_pt_count","mgps_positive_pt_count","core_ror_prr_positive_pt_count","strict_four_algorithm_positive_pt_count","max_ROR","max_PRR","max_IC","max_EBGM"
"Ioversol","Blood and lymphatic system disorders","血液及淋巴系统疾病","2","24","1","1","1","1","1","1","6.34","6.32","2.66","5.48"
"Ioversol","Ear and labyrinth disorders","耳及迷路类疾病","4","20","2","2","3","1","2","1","17.25","17.2","4.1","9.27"
"Ioversol","Endocrine disorders","内分泌系统疾病","3","15","1","1","1","1","1","1","133.85","133.69","7.03","8.48"
"Ioversol","Psychiatric disorders","精神病类","6","62","1","1","2","0","1","0","11.03","11.02","3.46","4.53"
"Ioversol","Metabolism and nutrition disorders","代谢及营养类疾病","3","12","0","0","0","0","0","0","1.22","1.22","0.29","1.2"
"Ioversol","Product issues","产品问题","2","8","0","0","0","0","0","0","1.45","1.45","0.53","1.38"
"Ioversol","Hepatobiliary disorders","肝胆系统疾病","1","3","0","0","0","0","0","0","0.63","0.63","-0.66","0.67"
"Ioversol","Surgical and medical procedures","各种手术及医疗操作","1","3","0","0","0","0","0","0","1.34","1.34","0.42","1.28"
"POOLED","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","91","6659","60","56","67","35","56","35","106.81","106.5","6.63","52.44"
"POOLED","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","65","7583","46","46","50","28","45","28","39.43","39.42","5.26","16.54"
"POOLED","General disorders and administration site conditions","全身性疾病及给药部位各种反应","92","4926","40","35","41","21","35","21","4038.1","4037.28","9.98","73.88"
"POOLED","Gastrointestinal disorders","胃肠系统疾病","63","3305","29","28","32","20","28","20","49.85","49.84","5.59","27.88"
"POOLED","Eye disorders","眼器官疾病","42","1312","26","26","26","18","26","18","54.01","53.95","5.7","21.85"
"POOLED","Investigations","各类检查","72","1832","35","32","39","15","32","15","149.63","149.53","7.07","40.34"
"POOLED","Injury, poisoning and procedural complications","各类损伤、中毒及操作并发症","60","1003","23","22","28","14","22","14","1930.02","1912.4","9.63","202"
"POOLED","Vascular disorders","血管与淋巴管类疾病","39","1814","19","19","20","13","19","13","4038.92","4037.28","9.98","84.14"
"POOLED","Cardiac disorders","心脏器官疾病","50","1624","20","19","24","11","19","11","34.22","34.21","5.06","15.53"
"POOLED","Nervous system disorders","各类神经系统疾病","107","3468","43","35","53","10","35","10","68.79","68.76","6.03","12.36"
"POOLED","Immune system disorders","免疫系统疾病","14","3115","12","12","12","10","12","10","477.2","458.71","8.42","263.94"
"POOLED",,,"46","771","28","25","31","10","25","10","57.53","57.51","5.79","12.59"
"POOLED","Infections and infestations","感染及侵染类疾病","33","377","11","11","13","6","11","6","124.89","124.73","6.84","29.27"
"POOLED","Renal and urinary disorders","肾脏及泌尿系统疾病","25","1223","9","8","9","5","8","5","41.62","40.78","5.31","37.26"
"POOLED","Surgical and medical procedures","各种手术及医疗操作","5","88","5","5","5","3","5","3","15.99","15.97","3.98","11.45"
"POOLED","Psychiatric disorders","精神病类","33","669","9","8","11","2","8","2","19.76","19.67","4.28","17.19"
"POOLED","Product issues","产品问题","19","187","6","6","7","2","6","2","248.02","247.9","7.71","14.06"
"POOLED","Ear and labyrinth disorders","耳及迷路类疾病","9","111","3","3","3","2","3","2","9.06","9.06","3.17","6.1"
"POOLED","Musculoskeletal and connective tissue disorders","各种肌肉骨骼及结缔组织疾病","25","585","5","4","5","1","4","1","21.25","21.2","4.38","16.68"
"POOLED","Metabolism and nutrition disorders","代谢及营养类疾病","17","216","2","2","2","1","2","1","292.66","292.56","7.91","10.56"
"POOLED","Blood and lymphatic system disorders","血液及淋巴系统疾病","15","186","2","2","2","1","2","1","5.21","5.19","2.37","5.01"
"POOLED","Hepatobiliary disorders","肝胆系统疾病","17","102","2","2","2","1","2","1","77.89","77.85","6.2","12.6"
"POOLED","Endocrine disorders","内分泌系统疾病","4","93","4","4","4","1","4","1","29.58","29.58","4.86","7.05"
"POOLED","Pregnancy, puerperium and perinatal conditions","妊娠期、产褥期及围产期状况","4","24","0","0","0","0","0","0","0.71","0.71","-0.49","0.74"
"POOLED","Reproductive system and breast disorders","生殖系统及乳腺疾病","3","11","0","0","0","0","0","0","1.41","1.41","0.49","1.36"
"POOLED","Social circumstances","社会环境","1","10","1","1","1","0","1","0","2.1","2.1","1.07","2"
